lon,lat,degree,mesh_code_2d
148.9375,45.5417,8°30′,684827
148.8125,45.5417,8°40′,684826
148.6875,45.5417,8°40′,684825
148.5625,45.5417,8°40′,684824
148.9375,45.4583,8°30′,684817
148.8125,45.4583,8°30′,684816
148.6875,45.4583,8°40′,684815
148.5625,45.4583,8°40′,684814
148.4375,45.4583,8°40′,684813
148.9375,45.375,8°30′,684807
148.8125,45.375,8°30′,684806
148.6875,45.375,8°40′,684805
148.5625,45.375,8°40′,684804
148.4375,45.375,8°40′,684803
148.0625,45.375,8°50′,684800
147.9375,45.4583,8°50′,684717
147.9375,45.375,8°50′,684707
147.8125,45.375,8°50′,684706
142.0625,45.4583,10°10′,684210
142.1875,45.375,10°30′,684201
142.0625,45.375,10°20′,684200
141.9375,45.5417,10°20′,684127
141.9375,45.4583,10°20′,684117
141.8125,45.4583,10°30′,684116
141.6875,45.4583,10°30′,684115
141.0625,45.4583,9°10′,684110
141.9375,45.375,10°20′,684107
141.8125,45.375,10°30′,684106
141.6875,45.375,10°40′,684105
141.0625,45.375,9°20′,684100
140.9375,45.5417,9°30′,684027
140.9375,45.4583,9°10′,684017
140.9375,45.375,9°10′,684007
148.8125,45.2917,8°30′,674876
148.6875,45.2917,8°30′,674875
148.5625,45.2917,8°40′,674874
148.4375,45.2917,8°40′,674873
148.3125,45.2917,8°40′,674872
148.1875,45.2917,8°40′,674871
148.0625,45.2917,8°40′,674870
148.4375,45.2083,8°40′,674863
148.3125,45.2083,8°40′,674862
148.1875,45.2083,8°40′,674861
148.0625,45.2083,8°40′,674860
148.1875,45.125,8°40′,674851
148.0625,45.125,8°40′,674850
148.0625,45.0417,8°40′,674840
147.9375,45.2917,8°50′,674777
147.8125,45.2917,8°50′,674776
147.9375,45.2083,8°40′,674767
147.8125,45.2083,8°50′,674766
147.6875,45.2083,8°50′,674765
147.9375,45.125,8°40′,674757
147.8125,45.125,8°50′,674756
147.6875,45.125,8°50′,674755
147.5625,45.125,8°50′,674754
147.4375,45.125,8°50′,674753
147.9375,45.0417,8°40′,674747
147.8125,45.0417,8°40′,674746
147.6875,45.0417,8°50′,674745
147.5625,45.0417,8°50′,674744
147.9375,44.9583,8°40′,674737
147.8125,44.9583,8°40′,674736
147.6875,44.9583,8°40′,674735
147.5625,44.9583,8°50′,674734
147.4375,44.9583,8°50′,674733
147.6875,44.875,8°40′,674725
147.5625,44.875,8°40′,674724
147.4375,44.875,8°50′,674723
147.3125,44.875,8°50′,674722
147.5625,44.7917,8°40′,674714
147.4375,44.7917,8°40′,674713
147.3125,44.7917,8°50′,674712
147.1875,44.7917,8°50′,674711
147.0625,44.7917,8°50′,674710
147.4375,44.7083,8°40′,674703
147.3125,44.7083,8°50′,674702
147.1875,44.7083,8°50′,674701
142.3125,45.2917,11° 0′,674272
142.1875,45.2917,10°50′,674271
142.0625,45.2917,10°30′,674270
142.3125,45.2083,11° 0′,674262
142.1875,45.2083,11° 0′,674261
142.0625,45.2083,10°40′,674260
142.4375,45.125,10°20′,674253
142.3125,45.125,10°50′,674252
142.1875,45.125,10°50′,674251
142.0625,45.125,10°40′,674250
142.5625,45.0417,10° 0′,674244
142.4375,45.0417,10°20′,674243
142.3125,45.0417,10°50′,674242
142.1875,45.0417,11° 0′,674241
142.0625,45.0417,10°40′,674240
142.5625,44.9583,10°10′,674234
142.4375,44.9583,10°30′,674233
142.3125,44.9583,11°10′,674232
142.1875,44.9583,11°10′,674231
142.0625,44.9583,10°30′,674230
142.6875,44.875,10°20′,674225
142.5625,44.875,10°30′,674224
142.4375,44.875,10°50′,674223
142.3125,44.875,11°10′,674222
142.1875,44.875,11°10′,674221
142.0625,44.875,10°20′,674220
142.8125,44.7917,9°50′,674216
142.6875,44.7917,10°10′,674215
142.5625,44.7917,10°30′,674214
142.4375,44.7917,10°40′,674213
142.3125,44.7917,11° 0′,674212
142.1875,44.7917,10°50′,674211
142.0625,44.7917,10° 0′,674210
142.8125,44.7083,9°40′,674206
142.6875,44.7083,9°50′,674205
142.5625,44.7083,10°20′,674204
142.4375,44.7083,10°30′,674203
142.3125,44.7083,10°50′,674202
142.1875,44.7083,10°40′,674201
142.0625,44.7083,9°50′,674200
141.9375,45.2917,10°20′,674177
141.8125,45.2917,10°30′,674176
141.6875,45.2917,10°40′,674175
141.5625,45.2917,10°40′,674174
141.1875,45.2917,10° 0′,674171
141.0625,45.2917,9°40′,674170
141.9375,45.2083,10°30′,674167
141.8125,45.2083,10°30′,674166
141.6875,45.2083,10°40′,674165
141.5625,45.2083,10°40′,674164
141.3125,45.2083,10°30′,674162
141.1875,45.2083,10°10′,674161
141.9375,45.125,10°30′,674157
141.8125,45.125,10°20′,674156
141.6875,45.125,10°30′,674155
141.5625,45.125,10°30′,674154
141.3125,45.125,10°20′,674152
141.1875,45.125,10°10′,674151
141.9375,45.0417,10°20′,674147
141.8125,45.0417,10°20′,674146
141.6875,45.0417,10°20′,674145
141.9375,44.9583,10°10′,674137
141.8125,44.9583,10°10′,674136
141.6875,44.9583,10°20′,674135
141.9375,44.875,9°50′,674127
141.8125,44.875,10° 0′,674126
141.6875,44.875,10°20′,674125
141.9375,44.7917,9°40′,674117
141.8125,44.7917,10° 0′,674116
141.9375,44.7083,9°40′,674107
141.8125,44.7083,10° 0′,674106
140.9375,45.2917,9°30′,674077
147.3125,44.625,8°40′,664772
147.1875,44.625,8°50′,664771
147.0625,44.625,8°50′,664770
147.1875,44.5417,8°40′,664761
147.0625,44.5417,8°50′,664760
147.0625,44.4583,8°40′,664750
146.9375,44.625,8°50′,664677
146.9375,44.5417,8°50′,664667
146.1875,44.5417,9° 0′,664661
146.0625,44.5417,9° 0′,664660
146.9375,44.4583,8°50′,664657
146.8125,44.4583,8°50′,664656
146.5625,44.4583,8°50′,664654
146.4375,44.4583,8°50′,664653
146.3125,44.4583,9° 0′,664652
146.1875,44.4583,9° 0′,664651
146.0625,44.4583,9° 0′,664650
146.5625,44.375,8°50′,664644
146.4375,44.375,8°50′,664643
146.3125,44.375,8°50′,664642
146.1875,44.375,9° 0′,664641
146.0625,44.375,9° 0′,664640
146.3125,44.2917,8°50′,664632
146.1875,44.2917,9° 0′,664631
146.0625,44.2917,9° 0′,664630
146.0625,44.2083,9° 0′,664620
145.9375,44.375,9° 0′,664547
145.3125,44.375,9° 0′,664542
145.9375,44.2917,9° 0′,664537
145.3125,44.2917,9° 0′,664532
145.1875,44.2917,9° 0′,664531
145.9375,44.2083,9° 0′,664527
145.8125,44.2083,9° 0′,664526
145.3125,44.2083,9° 0′,664522
145.1875,44.2083,9° 0′,664521
145.9375,44.125,9° 0′,664517
145.8125,44.125,9° 0′,664516
145.6875,44.125,9° 0′,664515
145.3125,44.125,9° 0′,664512
145.1875,44.125,9° 0′,664511
145.0625,44.125,8°50′,664510
145.9375,44.0417,9° 0′,664507
145.8125,44.0417,9° 0′,664506
145.6875,44.0417,9° 0′,664505
145.1875,44.0417,9° 0′,664501
145.0625,44.0417,9° 0′,664500
144.3125,44.125,9° 0′,664412
144.1875,44.125,9° 0′,664411
144.0625,44.125,9°10′,664410
144.9375,44.0417,8°50′,664407
144.3125,44.0417,9° 0′,664402
144.1875,44.0417,9° 0′,664401
144.0625,44.0417,9°10′,664400
143.0625,44.5417,10°10′,664360
143.1875,44.4583,9°50′,664351
143.0625,44.4583,10° 0′,664350
143.4375,44.375,9°50′,664343
143.3125,44.375,9°50′,664342
143.1875,44.375,9°50′,664341
143.0625,44.375,9°50′,664340
143.5625,44.2917,9°50′,664334
143.4375,44.2917,9°50′,664333
143.3125,44.2917,9°50′,664332
143.1875,44.2917,9°50′,664331
143.0625,44.2917,9°50′,664330
143.8125,44.2083,9°30′,664326
143.6875,44.2083,9°40′,664325
143.5625,44.2083,9°40′,664324
143.4375,44.2083,9°40′,664323
143.3125,44.2083,9°40′,664322
143.1875,44.2083,9°50′,664321
143.0625,44.2083,9°50′,664320
143.9375,44.125,9°20′,664317
143.8125,44.125,9°30′,664316
143.6875,44.125,9°30′,664315
143.5625,44.125,9°30′,664314
143.4375,44.125,9°30′,664313
143.3125,44.125,9°40′,664312
143.1875,44.125,9°40′,664311
143.0625,44.125,9°50′,664310
143.9375,44.0417,9°20′,664307
143.8125,44.0417,9°30′,664306
143.6875,44.0417,9°30′,664305
143.5625,44.0417,9°30′,664304
143.4375,44.0417,9°30′,664303
143.3125,44.0417,9°40′,664302
143.1875,44.0417,9°40′,664301
143.0625,44.0417,9°40′,664300
142.9375,44.625,10° 0′,664277
142.8125,44.625,9°50′,664276
142.6875,44.625,9°50′,664275
142.5625,44.625,10°10′,664274
142.4375,44.625,10°40′,664273
142.3125,44.625,11° 0′,664272
142.1875,44.625,10°50′,664271
142.0625,44.625,10°10′,664270
142.9375,44.5417,10°10′,664267
142.8125,44.5417,10° 0′,664266
142.6875,44.5417,10° 0′,664265
142.5625,44.5417,10°10′,664264
142.4375,44.5417,10°30′,664263
142.3125,44.5417,11° 0′,664262
142.1875,44.5417,11° 0′,664261
142.0625,44.5417,10°20′,664260
142.9375,44.4583,10° 0′,664257
142.8125,44.4583,10° 0′,664256
142.6875,44.4583,10° 0′,664255
142.5625,44.4583,10°10′,664254
142.4375,44.4583,10°20′,664253
142.3125,44.4583,10°30′,664252
142.1875,44.4583,10°30′,664251
142.0625,44.4583,10°20′,664250
142.9375,44.375,10° 0′,664247
142.8125,44.375,10° 0′,664246
142.6875,44.375,10°10′,664245
142.5625,44.375,10°20′,664244
142.4375,44.375,10°20′,664243
142.3125,44.375,10°20′,664242
142.1875,44.375,10°10′,664241
142.0625,44.375,10°10′,664240
142.9375,44.2917,9°50′,664237
142.8125,44.2917,10° 0′,664236
142.6875,44.2917,10°10′,664235
142.5625,44.2917,10°20′,664234
142.4375,44.2917,10°30′,664233
142.3125,44.2917,10°20′,664232
142.1875,44.2917,10°10′,664231
142.0625,44.2917,10° 0′,664230
142.9375,44.2083,9°50′,664227
142.8125,44.2083,9°50′,664226
142.6875,44.2083,10° 0′,664225
142.5625,44.2083,10°20′,664224
142.4375,44.2083,10°30′,664223
142.3125,44.2083,10°20′,664222
142.1875,44.2083,10° 0′,664221
142.0625,44.2083,9°50′,664220
142.9375,44.125,9°50′,664217
142.8125,44.125,9°50′,664216
142.6875,44.125,10° 0′,664215
142.5625,44.125,10°20′,664214
142.4375,44.125,10°30′,664213
142.3125,44.125,10°20′,664212
142.1875,44.125,10° 0′,664211
142.0625,44.125,9°50′,664210
142.9375,44.0417,9°40′,664207
142.8125,44.0417,9°40′,664206
142.6875,44.0417,9°50′,664205
142.5625,44.0417,10°20′,664204
142.4375,44.0417,10°30′,664203
142.3125,44.0417,10°30′,664202
142.1875,44.0417,10°10′,664201
142.0625,44.0417,9°50′,664200
141.9375,44.625,9°50′,664177
141.8125,44.625,10° 0′,664176
141.9375,44.5417,10° 0′,664167
141.8125,44.5417,10° 0′,664166
141.9375,44.4583,10° 0′,664157
141.8125,44.4583,10° 0′,664156
141.6875,44.4583,10° 0′,664155
141.4375,44.4583,10°10′,664153
141.3125,44.4583,10°10′,664152
141.9375,44.375,10° 0′,664147
141.8125,44.375,10°10′,664146
141.6875,44.375,10°10′,664145
141.3125,44.375,10°10′,664142
141.9375,44.2917,10° 0′,664137
141.8125,44.2917,10°10′,664136
141.6875,44.2917,10°20′,664135
141.9375,44.2083,10° 0′,664127
141.8125,44.2083,10°10′,664126
141.6875,44.2083,10°20′,664125
141.9375,44.125,9°50′,664117
141.8125,44.125,10°10′,664116
141.6875,44.125,10°10′,664115
141.9375,44.0417,9°50′,664107
141.8125,44.0417,10° 0′,664106
141.6875,44.0417,10° 0′,664105
146.9375,43.875,8°30′,654667
146.8125,43.875,8°30′,654666
146.6875,43.875,8°30′,654665
146.9375,43.7917,8°30′,654657
146.8125,43.7917,8°30′,654656
146.6875,43.7917,8°30′,654655
146.5625,43.7917,8°30′,654654
146.8125,43.7083,8°30′,654646
146.6875,43.7083,8°30′,654645
146.5625,43.7083,8°30′,654644
146.4375,43.625,8°20′,654633
146.3125,43.625,8°20′,654632
146.4375,43.5417,8°20′,654623
146.1875,43.5417,8°20′,654621
146.0625,43.5417,8°20′,654620
146.1875,43.4583,8°10′,654611
146.0625,43.4583,8°10′,654610
146.1875,43.375,8°10′,654601
146.0625,43.375,8° 0′,654600
145.8125,43.9583,9° 0′,654576
145.6875,43.9583,9° 0′,654575
145.5625,43.9583,9° 0′,654574
145.1875,43.9583,9°10′,654571
145.0625,43.9583,9°10′,654570
145.6875,43.875,8°50′,654565
145.5625,43.875,9° 0′,654564
145.4375,43.875,9° 0′,654563
145.0625,43.875,9°20′,654560
145.5625,43.7917,8°50′,654554
145.4375,43.7917,9° 0′,654553
145.0625,43.7917,9°20′,654550
145.5625,43.7083,8°50′,654544
145.4375,43.7083,9° 0′,654543
145.1875,43.7083,9°10′,654541
145.0625,43.7083,9°10′,654540
145.5625,43.625,8°40′,654534
145.3125,43.625,9° 0′,654532
145.1875,43.625,9° 0′,654531
145.0625,43.625,8°50′,654530
145.3125,43.5417,9° 0′,654522
145.1875,43.5417,9° 0′,654521
145.0625,43.5417,8°40′,654520
145.9375,43.4583,8° 0′,654517
145.8125,43.4583,8° 0′,654516
145.3125,43.4583,8°50′,654512
145.1875,43.4583,9° 0′,654511
145.0625,43.4583,8°40′,654510
145.9375,43.375,8° 0′,654507
145.8125,43.375,7°50′,654506
145.6875,43.375,7°40′,654505
145.5625,43.375,7°40′,654504
145.3125,43.375,8°30′,654502
145.1875,43.375,8°40′,654501
145.0625,43.375,8°40′,654500
144.9375,43.9583,9° 0′,654477
144.8125,43.9583,9° 0′,654476
144.6875,43.9583,9° 0′,654475
144.5625,43.9583,9° 0′,654474
144.4375,43.9583,9° 0′,654473
144.3125,43.9583,9° 0′,654472
144.1875,43.9583,9°10′,654471
144.0625,43.9583,9°10′,654470
144.9375,43.875,9°20′,654467
144.8125,43.875,9°10′,654466
144.6875,43.875,9°10′,654465
144.5625,43.875,9°20′,654464
144.4375,43.875,9°10′,654463
144.3125,43.875,9° 0′,654462
144.1875,43.875,9°10′,654461
144.0625,43.875,9°10′,654460
144.9375,43.7917,9°20′,654457
144.8125,43.7917,9°20′,654456
144.6875,43.7917,9°30′,654455
144.5625,43.7917,9°40′,654454
144.4375,43.7917,9°30′,654453
144.3125,43.7917,9° 0′,654452
144.1875,43.7917,9° 0′,654451
144.0625,43.7917,9°10′,654450
144.9375,43.7083,9°10′,654447
144.8125,43.7083,9°10′,654446
144.6875,43.7083,9°30′,654445
144.5625,43.7083,9°40′,654444
144.4375,43.7083,9°30′,654443
144.3125,43.7083,9° 0′,654442
144.1875,43.7083,8°50′,654441
144.0625,43.7083,9° 0′,654440
144.9375,43.625,8°40′,654437
144.8125,43.625,8°50′,654436
144.6875,43.625,9°10′,654435
144.5625,43.625,9°30′,654434
144.4375,43.625,9°30′,654433
144.3125,43.625,9° 0′,654432
144.1875,43.625,8°40′,654431
144.0625,43.625,8°50′,654430
144.9375,43.5417,8°30′,654427
144.8125,43.5417,8°30′,654426
144.6875,43.5417,9° 0′,654425
144.5625,43.5417,9°30′,654424
